10:59:40,303.1 
10:59:20,303.9 
10:59:0,302.7 
10:58:45,302.7 
10:58:21,301.3 
10:58:0,301.2 
10:57:40,303.4 
10:57:20,303.4 
10:57:0,302.5 
10:56:40,301.9 
10:56:20,301.9 
10:56:0,301.9 
10:55:40,302.1 
10:55:20,302.1 
10:55:0,303.5 
10:54:40,303.5 
10:54:20,303.6 
10:53:40,304.5 
10:53:20,303.1 
10:53:0,301.7 
10:52:40,302.5 
10:52:20,304 
10:52:0,304 
10:51:40,305.1 
10:51:20,304.1 
10:51:0,304.1 
10:50:40,303.5 
10:50:20,304.2 
10:49:40,303.6 
10:49:21,302.9 
10:49:1,301.9 
10:48:44,301.9 
10:48:20,302.9 
10:48:0,303.3 
10:47:40,302.1 
10:47:20,302.1 
10:47:0,302 
10:46:40,300.7 
10:46:20,300.7 
10:45:40,300.7 
10:45:21,300.7 
10:45:1,300.6 
10:44:40,299.8 
10:44:20,301 
10:44:0,301.7 
10:43:44,301.7 
10:43:20,299.5 
10:43:0,301.5 
10:42:40,301.5 
10:42:20,302.8 
10:42:0,302.8 
10:41:40,302 
10:41:20,301.1 
10:41:0,301.3 
10:40:40,301.3 
10:40:20,300.8 
10:40:0,300.9 
10:39:40,300.7 
10:39:20,300.7 
10:39:1,300 
10:38:43,301.3 
10:38:20,301.3 
10:38:1,301.5 
10:37:40,300.8 
10:37:20,302.3 
10:37:0,302.3 
10:36:40,303.2 
10:36:21,302.2 
10:36:0,302.2 
10:35:40,301.2 
10:35:20,301.8 
10:35:2,301.8 
10:34:41,302.5 
10:34:20,302.9 
10:33:20,303.9 
10:33:0,303.5 
10:32:40,303.5 
10:32:20,302 
10:32:0,301.4 
10:31:40,301.4 
10:31:20,300.6 
10:31:0,301.4 
10:30:40,301.3 
10:30:20,301.3 
10:30:1,300.4 
10:29:40,301.8 
10:29:20,301 
10:29:0,301 
10:28:44,300 
10:28:20,302 
10:28:0,302 
10:27:40,301.8 
10:27:20,302 
10:27:0,300.6 
10:26:40,300.6 
10:26:20,302.3 
10:26:0,302.3 
10:25:40,301.2 
10:25:20,300.7 
10:25:0,301.8 
10:24:40,302 
10:24:20,302 
10:24:1,303.1 
10:23:46,303.1 
10:23:20,303.1 
10:23:0,302.3 
10:22:40,301.4 
10:22:20,301.2 
10:22:0,301.2 
10:21:40,301.8 
10:21:20,303 
10:21:0,301.8 
10:20:40,301.8 
10:20:20,300.4 
10:20:0,299.8 
10:19:40,299.8 
10:19:20,300.2 
10:19:0,300.3 
10:18:20,299.6 
10:18:0,299.6 
10:17:40,300.3 
10:17:20,300.3 
10:17:0,299.2 
10:16:40,299.2 
10:16:20,299.3 
10:16:0,300 
10:15:40,300.2 
10:15:20,300.2 
10:15:0,299.4 
10:14:40,300.4 
10:14:20,300.9 
10:14:0,300.9 
10:13:42,301.5 
10:13:20,300.8 
10:13:1,303 
10:12:40,303 
10:12:20,302.5 
10:12:0,300.8 
10:11:40,299.9
